classification,Harmless,Malicious,Suspicious
benign,56,12,0
malicious,64,2,0
malicious,61,5,1
unknown,0,0,0
benign,57,12,0
benign,59,9,1
unknown,0,0,0
benign,57,10,0
malicious,60,9,0
unknown,0,0,0
unknown,0,0,0
benign,62,4,0
benign,55,10,2
unknown,0,0,0
benign,54,13,1
unknown,0,0,0
unknown,63,0,0
benign,57,11,1
benign,57,11,0
malicious,65,0,0
benign,60,9,1
malicious,55,13,0
unknown,0,0,0
malicious,60,10,0
malicious,59,11,0
benign,55,12,2
unknown,61,0,0
malicious,61,4,1
unknown,0,0,0
malicious,55,12,0
malicious,62,3,2
unknown,0,0,0
malicious,65,0,0
malicious,55,12,0
benign,54,13,0
unknown,0,0,0
benign,63,5,0
malicious,59,9,0
malicious,0,0,0
unknown,0,0,0
benign,55,12,0
benign,54,13,0
malicious,50,18,3
benign,60,6,0
benign,53,13,2
benign,57,8,0
unknown,0,0,0
malicious,61,2,0
benign,56,10,1
unknown,0,0,0
malicious,64,1,0
benign,58,12,0
malicious,62,2,0
unknown,62,1,0
malicious,0,0,0
malicious,63,3,1
benign,60,7,0
benign,54,14,0
unknown,0,0,0
unknown,58,10,0
malicious,59,6,0
malicious,0,0,0
malicious,0,0,0
malicious,65,1,0
malicious,64,1,0
malicious,0,0,0
benign,60,6,1
malicious,64,0,1
benign,56,9,1
unknown,0,0,0
benign,53,12,1
benign,59,8,0
malicious,61,6,1
malicious,61,4,1
malicious,58,8,0
benign,62,6,1
malicious,63,1,0
benign,57,11,1
malicious,65,1,0
malicious,62,3,0
unknown,62,0,0
malicious,61,4,0
unknown,60,8,0
benign,60,6,1
unknown,60,5,1
malicious,62,2,0
malicious,63,3,2
benign,55,13,2
unknown,57,8,2
benign,59,7,1
malicious,64,3,2
malicious,55,11,1
malicious,63,1,0
malicious,56,11,0
benign,56,13,0
malicious,0,0,0
malicious,58,12,2
malicious,62,3,2
benign,62,4,0
benign,56,12,0
malicious,0,0,0
malicious,62,5,1
malicious,64,1,0
unknown,0,0,0
benign,59,8,0
benign,61,6,0
unknown,66,2,0
unknown,0,0,0
unknown,0,0,0
unknown,62,1,0
unknown,64,2,0
malicious,62,4,2
malicious,59,5,0
benign,57,9,1
malicious,64,2,0
malicious,56,13,0
benign,59,8,0
malicious,0,0,0
malicious,61,4,1
malicious,63,6,1
unknown,61,8,2
unknown,63,5,1
malicious,61,5,0
malicious,57,11,1
benign,57,11,0
benign,55,11,0
malicious,60,6,0
malicious,59,7,3
malicious,65,3,1
unknown,60,5,0
malicious,54,14,1
benign,58,10,0
malicious,55,15,0
unknown,0,0,0
unknown,62,0,0
malicious,57,10,1
malicious,56,10,1
benign,59,8,0
malicious,61,2,0
malicious,60,8,1
benign,61,5,0
benign,60,5,2
malicious,60,8,0
benign,56,8,0
benign,0,0,0
malicious,61,8,0
malicious,61,5,1
malicious,55,13,1
malicious,64,1,0
benign,58,9,1
benign,59,8,1
malicious,58,9,0
unknown,0,0,0
unknown,61,6,3
malicious,62,5,1
unknown,0,0,0
malicious,63,5,0
benign,54,12,1
unknown,0,0,0
unknown,61,4,1
unknown,0,0,0
benign,55,12,2
unknown,0,0,0
benign,58,10,0
benign,58,8,0
malicious,64,1,0
unknown,0,0,0
malicious,57,12,1
malicious,62,6,0
benign,57,9,1
unknown,0,0,0
unknown,0,0,0
benign,56,9,2
malicious,63,2,0
malicious,58,6,1
unknown,0,0,0
malicious,62,1,0
malicious,54,15,0
benign,54,13,1
unknown,64,1,0
benign,55,11,0
malicious,55,13,1
malicious,0,0,0
unknown,0,0,0
benign,55,10,2
benign,57,10,0
benign,56,12,0
malicious,58,5,2
benign,57,11,0
malicious,61,6,1
malicious,0,0,0
malicious,0,0,0
unknown,63,1,0
malicious,60,9,0
benign,56,10,1
unknown,63,2,1
malicious,60,5,2
malicious,58,9,0
malicious,58,10,2
unknown,61,6,0
benign,55,14,1
benign,55,10,2
benign,62,5,0
benign,61,5,0
malicious,0,0,0
malicious,62,6,0
malicious,59,7,0
malicious,63,5,2
malicious,64,2,0
benign,58,11,1
unknown,0,0,0
malicious,59,8,0
malicious,56,10,1
malicious,0,0,0
malicious,63,2,0
malicious,60,9,1
malicious,66,2,0
unknown,60,4,1
benign,56,14,0
malicious,62,2,2
unknown,0,0,0
benign,55,13,0
malicious,0,0,0
malicious,62,5,0
benign,57,11,1
malicious,63,1,0
unknown,0,0,0
malicious,61,8,0
unknown,64,2,1
benign,57,11,0
unknown,0,0,0
unknown,0,0,0
malicious,0,0,0
malicious,0,0,0
benign,59,9,1
malicious,0,0,0
malicious,58,10,1
malicious,63,1,0
benign,58,9,1
benign,61,8,1
malicious,63,6,0
unknown,62,2,0
benign,62,6,1
malicious,63,2,2
malicious,0,0,0
unknown,0,0,0
malicious,63,2,0
malicious,61,9,0
unknown,0,0,0
unknown,62,3,1
malicious,60,8,0
benign,59,8,0
benign,58,9,0
malicious,61,6,0
malicious,58,8,1
malicious,62,4,0
unknown,65,1,0
malicious,62,3,1
unknown,0,0,0
malicious,57,12,0
malicious,57,12,1
malicious,0,0,0
malicious,63,1,0
malicious,62,3,1
malicious,60,8,0
malicious,61,7,1
unknown,0,0,0
malicious,63,2,1
malicious,58,10,2
benign,61,6,2
malicious,63,1,0
unknown,63,0,0
benign,60,6,1
malicious,60,6,0
benign,60,8,0
benign,56,11,0
malicious,65,1,0
benign,54,16,0
malicious,60,5,1
malicious,63,1,0
malicious,53,15,1
benign,60,6,0
benign,58,8,1
malicious,57,12,0
benign,62,5,1
benign,56,12,0
unknown,61,4,0
benign,55,10,1
malicious,55,13,0
malicious,60,7,1
benign,59,6,0
malicious,60,6,0
malicious,0,0,0
unknown,64,2,0
malicious,0,0,0
malicious,61,6,0
malicious,63,2,0
malicious,62,6,1
benign,60,5,1
benign,59,6,1
unknown,0,0,0
malicious,63,2,0
malicious,56,12,0
malicious,63,1,1
malicious,63,1,0
malicious,64,4,1
unknown,0,0,0
unknown,63,0,0
malicious,56,11,0
malicious,0,0,0
malicious,57,12,0
unknown,0,0,0
malicious,62,2,2
malicious,60,5,1
malicious,54,15,0
malicious,52,16,0
unknown,0,0,0
unknown,52,17,1
malicious,53,15,1
malicious,0,0,0
malicious,55,14,0
unknown,0,0,0
malicious,56,12,1
malicious,0,0,0
malicious,62,7,0
benign,56,12,1
benign,57,10,0
benign,53,14,0
malicious,53,15,1
malicious,58,9,0
unknown,61,3,2
unknown,64,0,1
unknown,0,0,0
malicious,0,0,0
benign,57,9,0
unknown,62,2,0
malicious,64,2,0
malicious,55,12,1
malicious,61,8,1
malicious,57,12,0
malicious,57,9,0
malicious,62,1,0
malicious,53,17,0
malicious,0,0,0
unknown,0,0,0
unknown,64,2,1
malicious,0,0,0
malicious,55,14,0
benign,58,9,0
benign,59,8,0
malicious,0,0,0
benign,58,9,1
unknown,0,0,0
benign,62,5,1
malicious,58,9,0
malicious,64,1,0
unknown,60,6,1
malicious,63,2,3
malicious,64,2,0
malicious,64,2,2
malicious,0,0,0
malicious,57,8,1
benign,55,12,0
unknown,59,5,0
malicious,0,0,0
malicious,62,3,0
benign,57,11,1
benign,53,16,0
malicious,56,11,0
malicious,56,10,3
malicious,64,1,0
malicious,0,0,0
benign,54,11,1
malicious,0,0,0
benign,59,8,0
benign,56,10,0
benign,54,12,1
benign,56,11,0
malicious,64,2,2
malicious,61,5,0
unknown,0,0,0
benign,54,13,0
malicious,61,3,0
malicious,61,5,2
malicious,63,3,1
unknown,0,0,0
malicious,61,6,1
malicious,63,5,0
malicious,63,6,1
malicious,59,9,0
unknown,0,0,0
malicious,61,8,1
unknown,0,0,0
malicious,61,6,0
malicious,58,7,1
malicious,59,7,2
malicious,60,8,0
benign,62,6,1
malicious,0,0,0
malicious,0,0,0
malicious,54,12,2
malicious,58,9,2
malicious,0,0,0
malicious,58,10,1
malicious,57,10,0
benign,60,6,1
malicious,63,3,0
benign,58,8,1
malicious,61,4,1
unknown,61,4,1
benign,57,9,1
benign,57,11,1
benign,54,13,1
malicious,59,8,1
malicious,59,8,0
malicious,0,0,0
benign,61,6,0
malicious,54,14,1
benign,57,12,1
benign,56,13,1
malicious,51,17,1
benign,59,8,0
malicious,61,5,0
malicious,61,5,2
benign,57,12,0
malicious,64,2,0
benign,57,10,0
malicious,0,0,0
unknown,64,2,1
malicious,63,2,1
malicious,59,9,0
malicious,0,0,0
malicious,0,0,0
malicious,57,11,1
malicious,55,13,0
malicious,56,12,1
benign,56,14,0
malicious,62,2,0
malicious,59,6,0
unknown,0,0,0
malicious,0,0,0
unknown,0,0,0
malicious,65,0,0
benign,57,11,0
malicious,0,0,0
malicious,56,14,1
unknown,66,1,1
unknown,0,0,0
malicious,0,0,0
malicious,59,6,2
benign,59,8,0
malicious,58,9,1
benign,58,9,1
unknown,0,0,0
benign,56,12,0
malicious,60,6,1
benign,56,13,0
malicious,0,0,0
benign,57,11,1
malicious,65,0,0
malicious,66,1,0
unknown,0,0,0
benign,54,13,0
malicious,62,2,2
benign,54,12,0
unknown,0,0,0
malicious,55,11,2
benign,56,11,0
malicious,0,0,0
malicious,64,1,0
malicious,62,2,0
benign,57,11,0
unknown,0,0,0
benign,54,14,0
malicious,60,6,0
unknown,0,0,0
malicious,58,10,1
unknown,0,0,0
benign,60,7,0
unknown,0,0,0
malicious,56,10,1
malicious,62,5,1
malicious,63,2,0
benign,55,10,1
malicious,55,11,0
unknown,63,3,2
malicious,57,12,0
unknown,0,0,0
malicious,58,9,0
unknown,0,0,0
malicious,63,1,0
